"Model","Scenario","Region","Variable","Unit","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050"
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Emissions|CO2","Mt CO2/yr",39262.8459,"","","","",30291.2209,22732.9636,16658.0238,12382.804,8522.0502,4352.8027
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Emissions|CH4","Mt CH4/yr",362.1865,"","","","",283.2195,246.5231,230.0876,220.0823,210.623,199.6644
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Secondary Energy|Electricity|Gas","EJ/yr",25.1426,"","","","",27.4508,22.2971,13.0707,11.2794,8.771,6.7856
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",29.4159,"","","","",53.2863,98.4408,145.5713,184.9748,226.3277,266.5465
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Primary Energy|Gas","EJ/yr",130.0861,"","","","",132.9666,123.009,101.2624,88.7563,73.5052,62.8466
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Secondary Energy|Electricity|Biomass","EJ/yr",2.0731,"","","","",2.4867,2.8434,3.1091,3.5604,4.15,4.746
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Secondary Energy|Electricity","EJ/yr",99.7564,"","","","",109.9454,136.5252,173.5727,213.6674,255.426,297.0372
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Secondary Energy|Electricity|Coal","EJ/yr",32.8913,"","","","",17.1808,2.8682,0.0509,0.0219,0.0151,0.009
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Primary Energy|Oil","EJ/yr",185.5183,"","","","",189.264,193.4483,183.7065,154.9856,126.9399,94.5652
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Primary Energy","EJ/yr",557.6109,"","","","",532.7879,529.1272,532.6259,538.4365,552.5895,568.2792
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Primary Energy|Coal","EJ/yr",144.6241,"","","","",80.809,26.3635,6.1409,2.8095,2.334,1.8323
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Primary Energy|Non-Biomass Renewables","EJ/yr",29.702,"","","","",54.7434,105.616,160.1468,205.3194,252.6541,299.3888
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Primary Energy|Biomass","EJ/yr",59.6124,"","","","",67.2271,72.8716,73.3051,78.1349,88.6863,101.3368
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Secondary Energy","EJ/yr",435.1187,"","","","",439.7531,468.3756,486.2916,491.4877,502.2521,516.2753
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Primary Energy|Biomass|Electricity","EJ/yr",6.0406,"","","","",6.912,7.6754,8.2371,9.1154,10.1731,11.1962
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",54225.9371,"","","","",41916.772,33004.2775,26382.9344,21785.3725,17714.6259,13256.919
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","Japan","Emissions|CO2","Mt CO2/yr",1133.2612,"","","","",880.429,623.5977,395.879,233.6475,134.5243,47.5913
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","Japan","Emissions|CH4","Mt CH4/yr",1.2661,"","","","",0.9693,0.8999,0.8439,0.7915,0.7405,0.6949
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","Japan","Secondary Energy|Electricity|Gas","EJ/yr",1.2484,"","","","",0.9506,0.6428,0.2986,0.1234,0.118,0.0978
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.7521,"","","","",1.0929,1.6782,2.3494,2.8965,3.38,3.7806
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","Japan","Primary Energy|Gas","EJ/yr",4.1526,"","","","",3.5339,2.841,2.0189,1.2452,0.973,0.8178
